"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee,Apogee,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1012,1203,1.28E-02,63.4,107.4,"6,500",,,9/13/2012,2012,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048P,38773,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)",NR,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1014,1099,5.72E-03,63.4,107.4,"6,500",,,10/8/2015,2015,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058A,40964,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,JM/12_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)",NR,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1014,1099,5.72E-03,63.4,107.4,"6,500",,,10/8/2015,2015,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058R,40981,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,JM/12_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1009,1204,1.30E-02,63.4,107.4,"6,500",,,3/1/2017,2017,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2017-011A,42058,,,JMSatCat9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-8 (Space Based Wide Area Surveillance System) NOSS 3-8, USA 274, NRO L79, Intruder)",USA,USA,National Reconnaissance Office (NRO)/US Navy,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1009,1204,1.30E-02,63.4,107.4,"6,500",,,3/1/2017,2017,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2017-011B,42065,,,JMSatCat9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScatSat-1,NR (12/16),India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology/Earth Science,LEO,Sun-Synchronous,0,717,731,9.87E-04,98.1,99.3,371,,,9/26/2016,2016,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2016-059H,41790,"Funded and built in India to join an international fleet of orbiting radars designed to track hurricanes, typhoons and other tropical cyclones.",,JMSatcat/12_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCD-1 (Satélite de Coleta de Dados),Brazil,Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Government,Earth Observation,Meteorology/Earth Science,LEO,Non-Polar Inclined,0,716,776,4.22E-03,25,99.7,110,,70,2/9/1993,1993,3,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1993-009B,22491,Collects meteorological and environmental data on the Amazon region; barely functioning.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCD-2 (Satélite de Coleta de Dados),NR,Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Government,Earth Observation,Meteorology/Earth Science,LEO,Non-Polar Inclined,0,735,760,1.76E-03,25,99.8,110,,70,10/23/1998,1998,3,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1998-060A,25504,Collects meteorological and environmental data on the Amazon region,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://perso.wanadoo.fr/eurospace/espdatabase/,http://nssdc.gsfc.nasa.gov/spacewarn/spx540.html,,,,,
Scisat-1 (Atmospheric Chemistry Experiment),Canada,Canada,Canadian Space Agency,Government,Space Science,,LEO,Polar,0,638,649,7.84E-04,73.9,97.6,150,,80,8/12/2003,2003,,Bristol Aerospace Ltd.,Canada,Vandenberg AFB,Pegasus XL,2003-036A,27858,ACE experiments in space.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDO (Solar Dynamics Observatory),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,GEO,,-102,35779,35791,1.42E-04,28,1436.03,"3,100","1,650","1,500",2/11/2010,2010,5,Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2010-005A,36395,"Carries three instruments to study the Sun at high time and spatial resolution: HMI, AIA, and EVE.",,JMSatcat/3_USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-4 (Satellite Data System) (NRO L-1, USA 179, Quasar) ",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,Elliptical,Molniya,0,500,39850,7.41E-01,63.4,717.7,,,,8/31/2004,2004,10,Hughes Space and Communications Co.,USA,Cape Canaveral,Atlas 2AS,2004-034A,28384,Real-time data relay from reconnaissance satellites.,,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-5 (Satellite Data System) (NRO L-24, USA 198, Quasar) ",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,Elliptical,Molniya,0,400,39966,7.45E-01,60,718,,,,12/10/2007,2007,10,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2007-060A,32378,Real-time data relay from reconnaissance satellites.,,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-6 (Satellite Data System) NRO L-27, USA 227, Quasar)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,131.06,35770,35803,3.91E-04,4.7,1436.1,,,,3/2/2011,2011,,National Reconnaissance Laboratory,USA,Cape Canaveral,Delta 4,2011-011A,37377,Real-time data relay from reconnaissance satellites.,,JM/5_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-7 (Satellite Data System) NRO L-38, USA 236, Quasar)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,-10.11,35771,35805,4.03E-04,3.8,1436.1,,,,6/20/2012,2012,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2012-033A,38466,Real-time data relay from reconnissance satellites.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS III-8 (Satellite Data System) NRO L-33, USA 252, Quasar)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,170.09,35500,35500,0.00E+00,4,1436.1,,,,5/22/2014,2014,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2014-027A,39751,Real-time data relay from reconnissance satellites.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS IV-1 (Satellite Data System, NRO L-61, USA 269, Quasar)",NR (11/16),USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,92.01,35777,35796,2.25E-04,4.92,1436.1,,,,7/28/2016,2016,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2016-047A,41724,Possible 4th generation of data relay satellites.,,JMSatcat/3_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDS IV-2 (Satellite Data System, NRO L-62, USA 279, Quasar)",NR (3/18),USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,Data Relay,GEO,,91.07,35786,35802,1.90E-04,4.9,1436.1,,,,10/15/2017,2017,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2017-066A,42949,Second of 4th generation.,,JMSatcat/3_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS-4 (Small Demonstration Satellite-4),Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,,LEO,Sun-Synchronous,0,661,673,8.53E-04,98.2,98.1,50,48,120,5/17/2012,2012,2,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H2A,2012-025C,38339,Several technology demonstration experiments and including an experiment to monitor AIS (Automatic Information System) messages transmitted from ships at sea.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEEDS 2,Japan,Japan,Nihon University,Civil,Technology Development,,LEO,Sun-Synchronous,0,607,627,1.43E-03,97.8,97,3,,,4/28/2008,2008,,Nihon University,Japan,Satish Dhawan Space Centre,PSLV C9,2008-021J,32791,Will download telemetry in Morse code and 1200-baud FM.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel  3B,NR  (5/18),ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,802,815,9.05E-04,98.6,101.1,"2,300",,,4/25/2018,2018,7,Thales Alenia Space,France,Plesetsk Cosmodrome,Rokot,2018-039A,43437,,,JM/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 1A,ESA,ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,691,693,1.42E-04,98.16,98.61,"2,300","2,146",,4/3/2014,2014,7,Thales Alenia Space Italia,Italy,Guiana Space Center,Soyuz,2014-016A,39634,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems).",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 1B,NR (12/16),ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,695,697,1.42E-04,98.1,98.7,"2,300","2,146",,4/25/2016,2016,7,Thales Alenia Space,France,Guiana Space Center,Soyuz 2.1a,2016-025A,41456,,,Space50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 2A,NR,ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,787,788,6.99E-05,98.5,100.62,"1,130","2,146",,6/23/2015,2015,7,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Vega,2015-028A,40697,"Part of ESA's Copernicus constellation, the EU contribution to GEOSS (Global Earth Observation System of Systems).",,JM/8_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 2B,NR (9/17),ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,777,779,1.40E-04,98.5,100.4,"1,130",,,3/6/2017,2017,7,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Vega,2017-013A,42063,,,JMSatcat/7_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 3A,NR (12/16),ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,802,804,1.39E-04,98.6,100.9,"2,300","2,146",,2/16/2016,2016,7,Thales Alenia Space,France,Plesetsk Cosmodrome,Rokot,2016-011A,41335,,,Space50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel 5P (Sentinel 5 Precursor),NR (3/18),ESA,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,816,819,2.09E-04,98.7,101.2,820,,,10/13/2017,2017,7,Airbus Defense and Space,France/UK/Germany,Plesetsk Cosmodrome,Rokot,2017-064A,42969,First Copernicus satellite dedicated to tracking changes in Earth’s atmosphere. Tropomi spectrometer will detect atmospheric composition at a scale of 4.3 miles by 2.2 miles (7 kilometers by 3.5 kilometers).,,JM/3_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-1 (AMC-4R),USA,USA,SES S.A.,Commercial,Communications,,GEO,,-101,35781,35793,1.42E-04,0.05,1436.1,,"2,561","5,000",4/24/2010,2010,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2010-016A,36516,"24 C-band; 24 Ku-band, CONUS.",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-10,NR (9/17),USA,SES S.A.,Commercial,Communications,,GEO,,-67,35777,35799,2.61E-04,0,1436.1,"5,271","2,835",,3/30/2017,2017,15,Airbus Defense and Space,France/UK/Germany,Cape Canaveral,Falcon 9,2017-017A,42432,Primarily for video and the development of Ultra HD.,,JMGEO/9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-11/EchoStar 105,NR (3/18),USA,"SES S.A./EchoStar Satellite Services, LLC",Commercial,Communications,,GEO,,-105,35785,35801,1.90E-04,0,1436,"5,200",,,10/11/2017,2017,15,Airbus Defense and Space,France/UK/Germany,Cape Canaveral,Falcon 9,2017-063A,42967,SES will control the 24 C-band transponders; EchoStar the 24 Ku-band transponders.,,JM/3_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-14,NR (5/18),USA,SES S.A.,Commercial,Communications,,GEO,,-100.7,35785,35785,0.00E+00,0,1436,"4,423",,,1/25/2018,2018,15,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Ariane 5,2018-012B,43175,Placed into the wrong transfer orbit; working its way up and should be totally operational.,,JMGEO/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-15,NR (9/17),USA,SES S.A.,Commercial,Communications,,GEO,,-129,35777,35777,0.00E+00,0,1436.1,,,,5/18/2017,2017,18,Boeing Satellite Systems,USA,Guiana Space Center,Soyuz,2017-026A,42709,Powered exclusively by xenon-fed electric thrusters,,JMGEO/9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-2,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-87,35778,35798,2.37E-04,0.01,1436.19,"3,200",,"5,000",9/21/2011,2011,18,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2011-049A,37809,24 active C-band and 24 Ku-band transponders;  provides comprehensive coverage of North America and the Caribbean. Also features the Commercially Hosted InfraRed Payload (CHIRP) for U.S. Air Force--wide-field of view sensor to validate space-based infrared technologies from geosynchronous orbit.,,JM/1_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-3,NR,USA,SES S.A.,Commercial,Communications,,GEO,,-103,35850,35852,2.37E-05,0.05,1439.41,"3,112",,,7/15/2011,2011,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2011-035A,37748,"24 C-band; 24 Ku-band, CONUS.",,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-4,NR,USA,SES S.A.,Commercial,Communications,,GEO,,-22,35781,35792,1.30E-04,0.05,1436.1,,,"20,000",2/14/2012,2012,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-007A,38087,"52 C-band; 72 Ku-band, Americas, Europe, Africa and the Middle East. ",,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SES-5 (Sirius 5, Astra 4B)",United Kingdom,USA,SES S.A.,Commercial,Communications,,GEO,,5,35783,35791,9.49E-05,0.13,1436.12,"6,007",,,7/9/2012,2012,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-036A,38652,24 C-band transponders and 36 Ku-band transponders. Also carries hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-6,NR,USA,SES S.A.,Commercial,Communications,,GEO,,-40.5,35757,35816,7.00E-04,0.13,1436.09,"6,140",,,6/3/2013,2013,15,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M,2013-026A,39172,Direct-to home broadcasts and VSat terminal services - Atlantic Ocean region.,,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SES-7 (Protostar 2, Indostar 2)",NR,USA,SES S.A.,Commercial,Communications,,GEO,,108.02,35783,35790,8.30E-05,0.03,1436.1,"4,007",,,5/16/2009,2009,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2009-027A,34941,"13 S-band, 27 Ku-band transponders, covers Indonesia, india, Taiwan and the Philippines. Purchased at auction in Dec. 2009 for $185 million.",,JM/7_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-8,NR,USA,SES S.A.,Commercial,Communications,,GEO,,95,35777,35795,2.13E-04,0.02,1436.07,"3,138",,,12/3/2013,2013,15,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9,2013-071A,39460,Direct broadcast TV and communications network services to India and south-east Asia.,,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES-9,NR (12/16),USA,SES S.A.,Commercial,Communications,,GEO,,108.02,35787,35791,4.74E-05,0.05,1436.2,"5,271","2,835","12,700",3/4/2016,2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-013A,41380,"All Ku-band, 57 transponders.  Asia-Pacific region",,Space50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGDC (Geostationary Satellite for Communications and Defense),NR (9/17),Brazil,Telebras/Brazilian Air Force,Commercial/Military,Communications,,GEO,,-74.85,35775,35798,2.73E-04,0,1436.11,"5,735",,,5/4/2017,2017,18,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2017-023B,42692,"Joint venture, commercial and Brazilian Air Force. 57 Ka-band and X-band transponders.",,JMGEO/9_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGSat (KySat-3),NR (10/17),USA,University of Kentucky,Civil,Technology Development,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.6,2,,,4/18/2017,2017,0.25,University of Kentucky,USA,International Space Station,Nanorack Deployer,1998-067LL,42703,Will evaluate a new Stellar Gyroscope attitude determination system.,,JMSatcat/10_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaonian Xing (Youth Star),NR (5/18),China,Teen Satellite Project,Civil,Technology Development,,LEO,Sun-Synchronous,0,483,507,1.75E-03,97.3,94.5,3,,,2/2/2018,2018,,Teen Satellite Project,China,Jiuquan Satellite Launch Center,Long March 2D,2018-015H,43199,"First satellite developed by teenagers as part of an outreach project to engage youth in thinking about space, STEAM education, and even satellite development.",,JMSatcat/5_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARC (Spacecraft for High Accuracy Radar Calibration),NR (10/17),USA,Air Force Research Laboratory,Military,Technology Demonstration,,LEO,Non-Polar Inclined,0,400,406,4.43E-04,51.6,92.6,10,,,5/18/2017,2017,0.5,Air Force Research Laboratory (AFRL),USA,International Space Station,Nanorack Deployer,1998-067LT,42712,Collect detailed positional measurements from space and help ground based radar networks improve tracking by conducting a series of coordinated fly-bys of military radar stations.,,JMSatcat/10_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-01 (SJ-11-01),China,China,China Academy of Space Technology (CAST),Government,Space Science,,LEO,Sun-Synchronous,0,686,703,1.20E-03,98.1,98.7,,,,11/12/2009,2009,3,China Academy of Space Technology (CAST)/ DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2C,2009-061A,36088,Monitor space environment; conduct several experiments.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-02 (SJ-11-02),China,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,686,704,1.27E-03,98.2,98.7,,,,7/29/2011,2011,,China Academy of Space Technology (CAST/DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2C,2011-039A,37765,Conduct various technology and environmental experiments.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-03 (SJ-11-03),NR,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,688,703,1.06E-03,98.2,98.7,,,,7/6/2011,2011,,China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2C,2011-030A,37730,Conduct various technology and environmental experiments.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-05 (SJ-11-05),China,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,689,704,1.06E-03,98.1,98.7,,,,7/15/2013,2013,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2013-035A,39202,Replacement for 11-04.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-06 (SJ-11-06),China,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,688,704,1.13E-03,98.26,98.69,,,,3/31/2014,2014,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-014A,39624,,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-07 (SJ-11-07),NR,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,687,705,1.27E-03,98.12,98.69,,,,9/28/2014,2014,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-059A,40261,Orbit suggests an earth observation role.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 11-08 (SJ-11-08),NR,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,690,705,1.06E-03,98.2,98.6,,,,10/27/2014,2014,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-066A,40286,Orbit suggests an earth observation role.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 12 (SJ-12),China,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,583,601,1.29E-03,97.7,96.5,,,,6/15/2010,2010,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-027A,36596,Conduct various technology and environmental experiments.,,www.satellitedebris.net 12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 15 (SJ-15),NR,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Sun-Synchronous,0,661,673,8.53E-04,98.06,98.08,,,,7/19/2013,2013,,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 3C,2013-037C,39210,,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 16-01 (SJ-16),China,China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Polar,0,599,616,1.22E-03,74.98,96.85,,,,10/25/2013,2013,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2013-057A,39358,Conducting space environment exploration and technological experiments.,,SC - ASCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shijian 16-02,NR (12/16),China,China Academy of Space Technology (CAST),Government,Technology Development,,LEO,Polar,0,338,594,1.87E-02,75,96.81,,,,6/29/2016,2016,,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2016-043A,41634,Conducting space environment exploration and technological experiments.,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
